title1,abstract1,title2,abstract2,cosine_similarity,calibrated_similarity
Peran Teknologi dalam Transformasi Pendidikan Bahasa Indonesia di Era Digital,"Tujuan dari penelitian ini adalah untuk mengetahui peran teknologi pendidikan dalam mengubah lanskap pendidikan bahasa Indonesia di era digital. Metode yang digunakan melibatkan survei literatur untuk mengidentifikasi perkembangan terkini dalam penerapan teknologi pendidikan dalam pendidikan bahasa. Hasil penelitian ini menunjukkan bahwa teknologi pendidikan telah memberikan kontribusi signifikan dalam meningkatkan kualitas dan efisiensi pembelajaran, memfasilitasi pembelajaran jarak jauh melalui platform seperti Zoom dan Google Meet, dan mendorong inovasi dalam strategi pengajaran. Penelitian ini juga bahwa peran teknologi pendidikan tidak hanya berfokus pada aspek teknis, tetapi juga mempengaruhi paradigma pembelajaran dengan mengubah pandangan tentang peran guru dan siswa. Meskipun demikian, penggunaan teknologi pendidikan juga menimbulkan tantangan, seperti masalah aksesibilitas dan dampak sosial-psikologis pada peserta didik. Oleh karena itu, diperlukan strategi yang matang untuk mengintegrasikan teknologi pendidikan dengan efektif dalam kurikulum pendidikan bahasa. Penelitian ini memberikan wawasan tentang bagaimana teknologi pendidikan berperan dalam mempengaruhi transformasi pendidikan bahasa Indonesia di era digital. Melalui penggabungan antara tujuan, metode, dan hasil penelitian ini, kita dapat lebih memahami kompleksitas peran teknologi pendidikan dalam membentuk pendidikan yang lebih adaptif dan relevan dengan perkembangan zaman.Kata Kunci: Teknologi, Transformasi, Era Digital",PERKEMBANGAN TEKNOLOGI INFORMASI DAN KOMUNIKASI (TIK) TERHADAP KUALITAS PEMBELAJARAN DI SEKOLAH DASAR,"Penelitian ini bertujuan untuk melihat seberapa jauh perkembangan Teknologi Informasi dan Komunikasi (TIK) dalam dunia pendidikan khususnya sekolah dasar. Pemanfaatan TIK dalam pendidikan pada penelitian ini lebih dikerucutkan lagi pada proses pembelajarannya. Guru dapat memanfaatkan TIK untuk memeprsiapkan proses pembelajaran dan atau ketika proses pembelajaran berlangsung. Dengan TIK guru dapat menambah bahan ajar dan mencari referensi tentang metode pembelajaran yang tepat untuk siswanya. Dalam pembelajaran guru dapat menyampaikan materi dengan lebih mudah diterima oleh siswa dengan bantuan pemanfaatan TIK. Penerapan TIK juga tidak hanya semata-mata langsung diterapkan, tetapi juga harus melihat karakteristik siswanya. Maka proses pembelajaran akan berkualitas dan bermakna dengan pemanfaatan TIK yang sesuai dengan karakteristik siswa.",0.89,0.38
PEMILIHAN PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS TEKNOLOGI INFORMASI,"Media pembelajaran merupakan suatu wadah untuk menyampaikan informasi dan pesan dalam pembelajaran. Fungsi dari media pembelajaran adalah agar peserta didik dengan mudah dapat memahami informasi dan pesan yang disampaikan sehingga dapat mencapai tujuan pembelajaran dengan sempurna. Di era yang serba teknologi dan informasi ini, perkembangan media juga mengalami kemajuan yang sangat pesat. Penggunaan teknologi dan informasi sebagai media pembelajaran merupakan sebuah tuntutan agar pembelajaran semakin menarik dan tidak hanya terpaku kepada guru. Dalam penggunaannya, media teknologi dan informasi memang sulit di operasikan dan membutuhkan keahlian khusus untuk menjalanknnya. Akan tetapi tidak bisa di pungkiri bahwa media pembelajaran berbasis teknologi dan informasi ini tidak bisa dihindari atau ditinggalkan. Media pembelajaran dengan jenis ini sangat memudahkan guru dalam kegiatan belajar mengajar, karena guru dapat tidak lagi menjelaskan ulang materi telah dibahas. Dan cakupan dalam media berbasis teknologi ini sangat luas sehingga sangat mudah untuk dijangkau peserta didik. Media berbasis teknologi dan informasi ini dapat berupa hp, laptop, internet, dan sebagainya.",Penggunaan Teknologi Seluler untuk Pembelajaran Kosakata Bahasa Inggris dalam Pendidikan Jarak Jauh,"Keberhasilan akademis sangat bergantung pada pemahaman bahasa, terutama dalam konteks penguasaan kosakata. Mahasiswa sering menghadapi tantangan dalam pembelajaran kosakata bahasa Inggris, yang merupakan kunci keberhasilan akademik. Keterbatasan akses, fleksibilitas, dan dukungan pedagogis dalam Pendidikan Jarak Jauh menuntut solusi inovatif. Penelitian ini mengadopsi metodologi Penelitian Desain Berbasis Riset (DBR) untuk mengembangkan Teknologi Seluler, sebuah aplikasi mobile yang dirancang khusus untuk pembelajaran kosakata. Proses pengembangan melibatkan iterasi desain, implementasi, dan evaluasi, dengan fokus pada kebutuhan dan konteks pembelajar. Teknologi Seluler VocUp berhasil diimplementasikan dan menunjukkan efektivitas dalam meningkatkan penguasaan kosakata. Aplikasi ini memungkinkan pembelajaran yang lebih interaktif dan adaptif, berkat fitur-fiturnya yang responsif terhadap kebutuhan pengguna dan kondisi pembelajaran. Penggunaan Teknologi Seluler telah menyediakan sarana yang lebih fleksibel dan mudah diakses untuk pembelajaran kosakata, mengatasi berbagai hambatan yang biasanya dihadapi dalam Pendidikan Jarak Jauh. Hal ini membuka jalan bagi pendekatan pembelajaran yang lebih inovatif dan terpusat pada siswa. Teknologi Seluler ini menawarkan solusi praktis dan efektif untuk tantangan pembelajaran kosakata di lingkungan universitas, khususnya dalam Pendidikan Jarak Jauh. Dengan pendekatan yang responsif dan berbasis pembelajaran, aplikasi ini tidak hanya meningkatkan penguasaan kosakata, tetapi juga mendorong pengembangan model pembelajaran yang lebih adaptif dan inklusif di masa depan.",0.8,0.23
Hubungan Model Kepercayaan Kesehatan (Health Belief Model) dengan Kepatuhan Minum Obat pada Pasien Hipertensi,"Pendahuluan: Penatalaksanaan Hipertensi salah satunya adalah minum obat. Kepatuhan dalam melaksanakan terapi (minum obat) membutuhkan persepsi atau model kepercayaan kesehatan (Health Belief Model) untuk meningkatkan kualitas hidupnya. Tujuan: Tujuan penelitian mengetahui hubungan model kepercayaan kesehatan dengan kepatuhan minum obat pada pasien Hipertensi. Metode: Desain penelitian Corelation Study dengan pendekatan Cross Sectional. Teknik sampling yakni Purposive Sampling, besar sampel 57 responden. Instrumen penelitian menggunakan kuesioner Health Belief Model dan MMAS-8, uji statistik Spearman Rho dengan tingkat signifikasi 0,05. Hasil: Analisa dengan uji statistik Spearman Rho didapatkan nilai p-value 0,000 dan taraf kesalahan ÃÂ±=0,05 (0,000 < 0,05) artinya terdapat hubungan antara model kepercayaan kesehatan dengan kepatuhan minum obat pada pasien Hipertensi yang mempunyai hubungan positif dengan kekuatan hubungan kategori kuat (r = 0,791). Kesimpulan: Faktor-faktor yang mempengaruhi hubungan positif diantaranya lama menderita Hipertensi dan rutin kontrol. Semakin tinggi Health Belief Model pada individu maka semakin tinggi kepatuhan dalam minum obat",PENINGKATAN PEMAHAMAN SISWA TENTANG TEKNOLOGI IoT MELALUI WORKSHOP TEKNOLOGI IoT,"Internet of Things (IoT) merupakan teknologi yang memungkinkan untuk mengontrol, berkomunikasi, berkolaborasi dengan berbagai perangkat keras. Teknologi IoT sangat relevan dalam berbagai bidang, salah satunya dalam bidang pendidikan. Dalam meningkatkan kompetensi lulusan, untuk meningkatkan Softkill siswa SMK Dinamika Kota Tegal, yang dapat dijadikan bekal siswa untuk memasuki dunia kerja. Pengetahuan siswa tentang teknologi IoT sangat minim, sehingga mereka merasa perlu untuk memberikan workshop dan pelatihan kepada siswa. Untuk meningkatkan pembelajaran siswa jurusan komputer, mesin dan listrik dalam penguasaan teknologi IoT melalui workshop, pelatihan dan demo alat selama dua hari. Dengan metode presentasi, training dan demo alat penelitian bagi peserta kegiatan, workshop dan training dilakukan dengan tujuan peserta kegiatan memiliki pengetahuan baru dan mengetahui perkembangan teknologi khususnya pemanfaatan teknologi IoT. Pelaksanaan kegiatan ini diikuti oleh 36 siswa SMK Dinamika Kota Tegal. Setelah mengikuti kegiatan pengabdian, hasilnya mahasiswa lebih memahami teknologi IoT. Hasil angket yang diperoleh adalah 99% siswa memahami penguasaan teknologi IoT.",0.69,0.2
MENGHADAPI INFLASI: STRATEGI PENGENDALIAN DAN DAMPAK TERHADAP EKONOMI DAN KESEJAHTERAAN RAKYAT,"Dalam satu dekade terakhir, inflasi menjadi salah satu tantangan utama yang dihadapi oleh banyak negara, termasuk Indonesia, yang berdampak pada stabilitas ekonomi dan kesejahteraan masyarakat. Fenomena Penelitian: Inflasi, yang didefinisikan sebagai kenaikan harga-harga secara umum dan berkelanjutan, sering kali mengikis daya beli masyarakat dan menyebabkan ketidakstabilan ekonomi, yang pada gilirannya berdampak pada kesejahteraan masyarakat secara keseluruhan. Masalah penelitian ini berfokus pada bagaimana mengidentifikasi strategi pengendalian inflasi yang efektif dan memahami dampaknya terhadap perekonomian dan kesejahteraan masyarakat. Tujuan dari penelitian ini adalah untuk mengeksplorasi dan menganalisis berbagai strategi pengendalian inflasi yang telah diterapkan di Indonesia serta menilai implementasi dan efektivitas strategi tersebut dalam menstabilkan harga dan meminimalisir dampak negatif terhadap perekonomian dan kesejahteraan masyarakat. Penelitian ini menggunakan metode kualitatif dengan pendekatan studi kasus. Pendekatan ini dipilih untuk mendapatkan pemahaman yang mendalam mengenai kompleksitas fenomena inflasi, strategi pengendalian yang telah dilakukan, serta persepsi dan respon masyarakat terhadap strategi-strategi tersebut. Hasil penelitian menunjukkan bahwa meskipun telah dilakukan berbagai upaya pengendalian inflasi, seperti kebijakan moneter yang ketat dan pengendalian harga bahan pokok, namun masih terdapat tantangan dalam pelaksanaannya, antara lain koordinasi antar lembaga dan respon pasar. Temuan penting lainnya adalah bahwa keberhasilan pengendalian inflasi tidak hanya diukur dari stabilitas harga, tetapi juga dari kemampuan masyarakat untuk mempertahankan kesejahteraan mereka. Studi ini mengusulkan bahwa strategi pengendalian inflasi yang efektif harus disertai dengan kebijakan sosial yang mendukung, seperti bantuan sosial untuk masyarakat berpenghasilan rendah, untuk menjaga kesejahteraan masyarakat.",TREND PENELITIAN KESEHATAN MENTAL REMAJA DI INDONESIA DAN FAKTOR YANG MEMPENGARUHI: LITERATURE REVIEW,"Remaja merupakan periode terjadinya pertumbuhan dan perkembangan yang pesat baik secara fisik, psikologis maupun intelektual dengan jumlah sekitar 18% dari seluruh penduduk di Indonesia pada rentang usia 10 - 19 tahun. Permasalahan remaja Indonesia mencakup 3 hal penting; masalah sosial, masalah budaya dan masalah moralitas. Hal tersebut disebabkan rasa ingin tahu yang besar, menyukai petualangan serta berani mengambil resiko yang dapat berdampak pada kesehatan fisik maupun psikologis jika keputusan yang diambil tidak tepat. PKPR merupakan pelayanan pada remaja yang diberikan secara komprehensif di semua tempat termasuk didalamnya intervensi pada pelayanan kesehatan jiwa remaja, meliputi: masalah psikososial, gangguan jiwa, dan kualitas hidup termasuk dalam deteksi kesehatan mental remaja. Studi literatur ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi kesehatan mental pada remaja. Metode yang digunakan literatur review berasal dari jurnal nasional Indonesia melalui data base google scholar menggunakan kata kunci kesehatan mental remaja, kemudian diseleksi berdasarkan kriteria inklusi dan eksklusi, artikel yang terbit tahun 2017 - 2022 dengan desain penelitian kuantitatif. Hasil analisis dari 14 artikel, mengacu pada framework influences on mental health yang diadaptasi dari Social Determinants of Health, diperoleh 3 faktor utama yang berhubungan dengan kesehatan mental, yaitu 1) faktor gaya hidup (bullying, regulasi emosi, cyberbullying, disiplin dan motivasi), 2) jaringan sosial dan komunitas (dukungan teman, media sosial, game online, dan konseling teman sebaya) serta 3) sosial ekonomi, budaya dan kondisi lingkungan (religiusitas). Didapatkan juga karakteristik demografis serta adanya faktor yang tidak ada hubungan dengan kesehatan mental; pemilihan makanan, pola asuh serta pengguna instagram",0.91,0.4
EDUKASI KESEHATAN DENGAN MEDIA VIDEO ANIMASI: SCOPING REVIEW,"Upaya peningkatan pengetahuan anemia pada remaja putri selama ini dilakukan melalui pemberian edukasi kesehatan. Edukasi kesehatan yang banyak digunakan saat ini masih menggunakan media yang bersifat konvensional seperti leaftlet, booklet, lembar balik, dan power point. Seiring berkembangnya zaman,media konvensional dirasa kurang efektif untuk peningkatan pengetahuan, sikap dan perilaku kesehatan. Generasi 4.0 lebih dekat dan lebih menyukai media edukasi kesehatan yang bersifat teknologi canggih seperti melalui pendekatan audiovisual dalam bentuk video animasi dengan karakter unik dan menarik. Tujuan studi ini adalah untuk mendapatkan gambaran yang komprehensif terkait edukasi kesehatan dengan menggunakan media video animasi. Studi ini dirancang dengan menggunakan metode scoping review. Pencarian artikel menggunakan databased dari Sciencedirect, Scopus, Pubmed, Springerlink dengan waktu penelitian Januari 2015 sampai Desember 2020, dengan kata kunci (video educational, video animation, health animation, animation media, animation for education. Hasilnya sebanyak 11 artikel yang dilakukan analisis terdiri dari 1artikel kualitatif dan 10 artikel kuantitatif. Hasil studi ini merangkum temuan tentang video animasi sangat efektif dalam edukasi kesehatan untuk meningkatkan pengetahuan tentang kesehatan karena menarik dan artistik, mudah dimengerti, serta efektif dan informatif. Simpulan studi bahwa media video animasi terbukti signifikan dalam meningkatkan pengetahuan pasien dalam berbagai kelompok usia dan kelompok penyakit. Tenaga kesehatan penting untuk melihat peluang dari video edukasi kesehatan sebagai intervensi yang tepat dalam meningkatkan pengetahuan masyarakat tentang kesehatan pada berbagai kelompok usia.",Peran Digital Marketing dalam Upaya Pengembangan UMKM Berbasis Teknologi di Kelurahan Plamongansari Semarang,"Perkembangan Usaha Mikro Kecil dan Menengah (UMKM) menjadi stagnan di masa pandemi Covid-19. Banyak sekali UMKM mengalami penurunan penjualan dan tidak bisa berkembang bahkan hampir mengalami kebangkrutan. Kondisi tersebut membuat para pelaku UMKM harus berfikir untuk bisa tetap bertahan demi kelangsungan usahanya. Di masa pandemi Covid-19 banyak konsumen mengurangi interaksi di luar rumah dengan menjaga jarak guna memutus rantai penyebaran virus Covid-19. Pelaku UMKM dapat melanjutkan usahanya dengan tetap memenuhi kebutuhan konsumen di masa pandemi dengan mengalihkan pembelian secara online. Beralihnya pembelian secara offline menjadi online (digital), akan mempermudah pelaku UMKM dalam memperluas akses pemasaran. Peran teknologi digital memiliki pengaruh yang signifikan terhadap UMKM. Paradigma teknologi yang muncul memanfaatkan potensi UMKM yang lebih kuat serta berkelanjutan. Social media dan E-commerce dapat menjadi wadah penjualan pelaku UMKM. Diketahui bahwa pelaku UMKM belum mengikuti perkembangan digital secara maksimal, terutama karena kurangnya pengetahuan tentang digital marketing. Tujuan program pemberdayaan masyarakat pada UMKM di Kelurahan Plamongansari yaitu untuk memberikan pendampingan pelatihan digital marketing sebagai upaya pengembangan dan perluasan jaringan pemasaran berbasis teknologi (digital). Setelah melakukan pengabdian ini, diharapkan pelaku UMKM di Kelurahan Plamongansari akan terus bersinergi demi keberlangsungan UMKM dan pengembangan ekonomi masyarakat.",0.82,0.23
Prenatal Yoga terhadap Tingkat Kesehatan Mental Ibu Hamil,"Kesehatan mental pada kehamilan dapat menjadi terganggu karena adanya rasa khawatir berlebihan terhadap keterbatasan aktifitas yang bida dilakukan, serta kesehatan dan keselamatan janin. Hal ini menjadi pemicu terjadinya cemas dan depresi pada masa kehamilan. Yoga saat masa kehamilan atau disebut prenatal yoga merupakan latihan fisik yang dapat mengurangi ketidaknyamanan fisik ibu hamil serta bisa meningkatkan rasa nyaman menjalani masa kehamilan. Tujuan: Menganalisis perbedaan kelas prenatal yoga terhadap kesehatan mental ibu hamil. Metode: Metode penelitian ini adalah metode ekperimen dengan desain pendekatan posttest-only control. Penelitian di PMB wilayah Kecamatan Banjarmasin Timur. Dilaksanakan bulan Juli-Agustus 2022. Jumlah Sampel penelitiaan berjumlah 30 orang. Pengumpulan data menggunakan kuesioner Hospital Anxiety and Depression Scale (HADS). Analisis data bivariat dengan uji independent t-test. Nomor surat etik penelitian 214/KEP-UNISM/VI/2022. Hasil: Hasil penelitian uji independent t-test didapatkan tingkat kesehatan mental pada kecemasan (p-value=0,002) dan depresi (p-value=0,007) ibu hamil yang artinya terdapat perbedaan kesehatan mental ibu hamil antara kelompok kontrol (tidak mengikuti kelas prenatal yoga) dan kelompok perlakuan mengikuti kelas prenatal yoga). Kesimpulan: Prenatal yoga memberikan dampak berbeda terhadap kesehatan mental ibu hamil. Rerata ibu hamil yang mengikuti kelas prenatal yoga memiliki kesehatan mental yang normal. Prenatal yoga sangat baik.",Dampak Psikologis dalam Memberikan Perawatan dan Layanan Kesehatan Pasien COVID-19 pada Tenaga Profesional Kesehatan,"Stres dan kecemasan adalah reaksi terhadap situasi yang mengancam dan tak terduga seperti dalam wabah pandemi koronavirus. Petugas kesehatan adalah yang paling rentan terhadap hal tersebut. Reaksi terkait stres meliputi perubahan konsentrasi, lekas marah, cemas, susah tidur, berkurangnya produktivitas, dan konflik antarpribadi, dalam kasus selanjutnya, mereka akan mengalami kondisi kejiwaan yang lebih parah, pemisahan dari keluarga, situasi abnormal, peningkatan paparan, ketakutan akan penularan COVID-19, perasaan gagal dalam menangani prognosis yang buruk, fasilitas teknis yang tidak memadai, APD, alat dan peralatan, untuk membantu merawat pasien. Petugas kesehatan mengalami kesulitan mempertahankan kondisi kesehatan fisik dan mental yang berisiko mengalami gangguan psikologis seperti depresi, kecemasan, stres berat, dan kelelahan. Faktor risiko lain yang diidentifikasi adalah perasaan tidak didukung, kekhawatiran tentang kesehatan pribadi, takut membawa infeksi dan menularkannya kepada anggota keluarga atau orang lain, diisolasi, perasaan tidak pasti, stigmatisasi sosial, beban kerja yang berlebihan, dan merasa tidak aman ketika memberikan layanan perawatan dan kesehatan pada pasien COVID-19. Catatan PenerbitPolekkes Kemenkes Kendari menyatakan tetap netral sehubungan dengan klaim dari perspektif atau buah pikiran yang diterbitkan dan dari afiliasi institusional manapun. PendanaanPenulis tidak menerima pendanaan yang sifatnya spesifik untuk kajian ini.",0.81,0.23
Peran Teknologi dalam Transformasi Ekonomi dan Bisnis di Era Digital,"Artikel ini membahas peran teknologi dalam transformasi ekonomi dan bisnis di era digital. Terobosan teknologi seperti kecerdasan buatan, blockchain, dan Internet of Things telah memungkinkan pengembangan model bisnis yang lebih efisien dan inovatif. Dalam artikel ini, dibahas bagaimana teknologi telah mempengaruhi berbagai aspek ekonomi dan bisnis, serta tantangan dan peluang yang dihadapi oleh perusahaan dalam mengadopsi teknologi baru dan mengintegrasikannya ke dalam operasi mereka. Dalam penelitian ini menggunakan metode studi litelatur penggunaan buku, jurnal artikel,dan website resmi. Dengan memberikan gambaran menyeluruh tentang peran teknologi dalam transformasi ekonomi dan bisnis di era digital, artikel ini memberikan pemahaman yang lebih baik tentang bagaimana teknologi dapat membantu perusahaan dan masyarakat untuk mencapai kemajuan yang lebih besar di masa depan.",ANALISIS SITUASI KESEHATAN MENTAL PADA MASYARAKAT DI INDONESIA DAN STRATEGI PENANGGULANGANNYA,"Latar Belakang: Kesehatan mental merupakan sektor penting dalam mewujudkan kesehatan secaramenyeluruh. Terdapat sekitar 450 juta orang menderita gangguan mental dan perilaku di seluruh dunia,terbanyak di India (4,5%). Satu dari empat orang menderita satu atau lebih gangguan mental selama masahidup mereka. Gangguan mental jika tidak ditangani dengan tepat, akan bertambah parah, dan akhirnya dapatmembebani keluarga, masyarakat, serta pemerintah. Studi ini bertujuan mengetahui situasi kesehatan mentalpada masyarakat Indonesia dan strategi penanggulangannya.Metode: Tulisan ini menggunakan analisis deskriptif eksploratif, melalui tinjauan literatur dan kajian datasekunder. Unit analisis yaitu situasi kesehatan mental di Indonesia.Hasil Penelitian: Berdasarkan kajian data Riskesdas 2013 diketahui prevalensi gangguan mental berat padapenduduk Indonesia 1,7%, terbanyak di Yogyakarta, Aceh, Sulawesi Selatan. Adapun gangguan mentalemosional dengan gejala-gejala depresi dan kecemasan sekitar 6%. Hingga saat ini, masih terdapat stigmadan diskriminasi terhadap orang dengan gangguan mental di Indonesia, sehingga mengalami penangananserta perlakuan salah seperti pemasungan. Oleh karena itu strategi yang optimal perlu dilakukan bagi setiapindividu, keluarga dan masyarakat dengan pendekatan promotif, preventif, kuratif, dan rehabilitatif secaramenyeluruh, terpadu dan berkesinambungan. Kesehatan mental dapat ditingkatkan dengan intervensikesehatan masyarakat yang efektif. Paradigma dalam gerakan kesehatan mental yang lebih mengedepankanpada aspek pencegahan serta peran komunitas untuk membantu optimalisasi fungsi mental individu.Kesimpulan: Masih banyaknya kasus gangguan kesehatan mental pada masyarakat, dan penanganannyayang salah di Indonesia. Pemerintah perlu melakukan upaya penanggulangan yang menyeluruh, dimulaiadanya peraturan kebijakan yang menjadi dasar dukungan pendanaan dan akses ke pelayanan kesehatanmental serta didukung pendekatan berbasis komunitas.Kata kunci: adanya peraturan kebijakan yang menjadi dasar dukungan pendanaan dan akses ke pelayanan kesehatanmental serta didukung pendekatan berbasis komunitas.Kata kunci: Depresi, gangguan mental, psikososial, psikososial, skizofrenia., gangguan mental, psikososial, pemasungan, skizofrenia.",0.76,0.23
EFEKTIVITAS PSIKOEDUKASI ONLINE UNTUK MENINGKATKAN LITERASI KESEHATAN MENTAL,"Psikoedukasi dengan poster ini dilaksanakan untuk meningkatkan pengetahuan partisipan mengenai konsep kesehatan mental. Intervensi ini diharapkan mampu meningkatkan pengetahuan partisipan mengenai konsep dasar kesehatan mental. Setelah melakukan penyebaran link google form yang berisi soal pretest, poster tentang konsep dasar kesehatan mental dan soal posttest. Jumlah partisipan dalam psikoedukasi dengan mengunakan poster ini adalah sebanyak 112 orang. Berdasarkan hasil analisis yang dilakukan dengan bantuan aplikasi IBM SPSS versi 21 dengan menggunakan output uji Wilcoxon. Hasil SPSS diatas menunjukkan bahwa nilai Asymp. Sig.(2-tailed) sebesar 0,000<0,05 yang menunjukkan adanya perbedaan yang signifikan antara pre-test dengan post-test. Ini menunjukkan terdapat pengaruh yang signifikan/bermakna terhadap perbedaan perlakuan yang diberikan pada masing-masing variable. Sehingga dapat disimpulkan hasil bahwa ada peningkatan pengetahuan partisipan dalam intervensi literasi meningkatkan kesehatan mental ini.",Efektivitas Penggunaan Lembar Balik sebagai Media Promosi Kesehatan : Tinjauan Sistematis,"Media promosi kesehatan yang baik dapat menunjang upaya promosi kesehatan. Pemilihan media promosi kesehatan harus sesuai dengan permasalahan yang ada. Penanganan masalah gizi dan stunting memerlukan media promosi kesehatan yang mampu memadukan kompleksitas permasalahan dengan sasaran primer, sekunder, dan tersier. Lembar flipchart merupakan media promosi kesehatan yang tepat untuk masalah gizi dan stunting. Penelitian ini bertujuan untuk mengukur dan menunjukkan bukti sebagai media promosi kesehatan. Metode penelitian yang digunakan adalah telaah sistematis dengan menggunakan sumber data jurnal Garuda Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi. Data dapat diunduh pada tanggal 10-17 Maret 2021. Sebanyak 32 artikel sesuai dengan kata kunci yang ditentukan. Sebanyak 10 artikel ditelaah setelah diseleksi dan ditetapkan sesuai kriteria inklusi. Hasil penelitian menunjukkan media promosi kesehatan berupa lembar flipchart layak digunakan untuk pembelajaran edukasi gizi dan stunting bagi masyarakat. Pengaruh penggunaan lembar flipchart sebagai media promosi kesehatan terhadap perubahan pengetahuan, sikap, dan perilaku masyarakat tentang gizi atau masalah kesehatan lainnya.",0.76,0.23
Media Pembelajaran Berbasis Teknologi Augmented Reality,"Penelitian ini bertujuan menghasilkan media pembelajaran berbasis teknologi Augmented Reality pada materi limas dan mengetahui kelayakan pengunaannya. Penelitian ini berdasarkan hasil observasi di sekolah peserta didik masih kesulitan dalam menentukan bentuk, luas dan volume limas. Untuk mengatasi hal tersebut, perlu dikembangkan sebuah media pembelajaran yang mampu membuat peserta didik merasakan secara real dalam proses belajarnya. Metode yang digunakan yaitu metode Research & Development (R&D) dengan model Assessment/Analysis, Design, Development, Implementation & Evaluation (ADDIE). Teknik pengumpulan data menggunakan lembar angket. Instrumen yang digunakan angket penilaian kualitas media pembelajaran. Sumber data penelitian ini peserta didik kelas VIII SMP Negeri 1 Cikoneng yang berjumlah 15 orang. Hasil penelitian ini berupa media pembelajaran berbasis Tekonologi Augmented Reality pada materi limas bernama GEO3DAR. Kelayakan kualitas isi dan tujuan berada pada kategori layak. Kelayakan kualitas intruksional berada pada kategori sangat layak.",Analisis dan Desain Tata Kelola Teknologi Informasi Menggunakan Framework COBIT 2019 pada PT. XYZ,"Tata kelola teknologi Informasi merupakan langkah mitigasi penyelarasan implementasi teknologi informasi dengan tujuan perusahaan. Tata kelola teknologi informasi yang tepat akan membantu organisasi untuk mampu bersaing dengan kompetitor-kompetitor lain, maka dari itu penerapan tata kelola teknologi menggunakan kerangka kerja COBIT 2019 akan sangat memiliki pengaruh dalam menunjang tujuan perusahaan. Pada kemajuan era industri saat ini banyak sekali kemajuan dan memberikan pengaruh yang bersar terhadap berbagai aspek kehidupan, salah satunya bidang bisnis yaitu munculnya online shop. Sehingga di temukan permasalahan di perusahaan PT. XYZ adalah belum pernah ada tindakan penilaian tata kelola teknologi informasi secara menyeluruh, selain itu juga ditemukan kendala dalam pengelolaan data pesanan dan data stock barang pada perusahaan. Analisa yang dilakukan dengan acuan Governance System Design Workflow yang tertera pada COBIT 2019.",0.76,0.23
Penggunaan Teknologi dalam Pendidikan: Analisis Literatur Mengenai Efektivitas dan Implementasi,"Penelitian ini melakukan analisis bibliometrik yang komprehensif untuk mengeksplorasi penggunaan teknologi dalam pendidikan dan menilai efektivitas dan implementasinya. Penelitian ini berfokus pada analisis artikel ilmiah yang diterbitkan di bidang pendidikan, khususnya yang membahas integrasi teknologi dalam proses belajar mengajar. Dengan menggunakan teknik bibliometrik, penelitian ini mengidentifikasi tren utama, penulis yang berpengaruh, topik penelitian populer, dan dampak keseluruhan dari teknologi dalam lingkungan pendidikan. Temuan-temuan ini memberikan wawasan yang berharga mengenai kondisi penelitian saat ini di bidang ini dan menyoroti jalan yang potensial untuk penyelidikan di masa depan.",Pemanfaatan Teknologi Pembelajaran Di Masa Pandemi Covid-19,"Penelitian ini bertujuan untuk membahas tentang pentingnya Teknologi Informasi dalam mengatasi wabah virus covid-19. Berdasarkan laporan terbaru. Berdasarkan data yang diperoleh, menyatakan bahwa ada 175,4 juta pengguna internet di Indonesia telah menggunakan internet. Berdasarkan hasil analisa kualitatif, pengamatan langsung, dapat disimpulkan bahwa internet telah menjadi media yang memberikan informasi ke masyarakat tentang bahaya dan upaya pencegahan Covid 19. Namun, kelemahan dari teknologi informasi diantaranya sulitnya menyaring informasi yang benar atau salah sehingga pengguna harus memilah dan menyikapi setiap informasi yang dibaca dari teknologi internet. Masyarakat perlu mewaspadai wabah virus covid-19 yang telah menyebar ke ratusan negara di dunia, termasuk negara Indonesia. Oleh karena itu, teknologi informasi seharusnya menjangkau ke pelosok desa. Berkaitan dengan aspek kesehatan, teknologi informasi sepatutnya menjangka hingga satuan puskesmas dan terintegrasi dengan rumah sakit perkotaan. ",0.84,0.28
